Id,Frequency,Recency,Lifetime,MonetaryValue
17850.0,35,3836,3907,5288.630000000009
13047.0,18,3565,3907,3079.1000000000013
12583.0,18,3536,3907,7187.339999999993
13748.0,5,3629,3907,948.2499999999998
15100.0,6,3864,3907,635.1
15291.0,20,3559,3907,4596.510000000002
14688.0,27,3541,3907,5107.379999999999
17809.0,15,3550,3907,4627.619999999998
15311.0,118,3534,3907,59419.34000000011
14527.0,86,3536,3907,7711.379999999953
16098.0,7,3621,3907,2005.6300000000003
18074.0,1,3907,3907,489.6
17420.0,3,3584,3907,598.8300000000002
16029.0,76,3572,3907,50992.60999999997
16250.0,2,3795,3907,389.44000000000005
12431.0,18,3569,3907,6416.389999999999
17511.0,46,3536,3907,88125.37999999996
17548.0,3,3751,3907,-141.48000000000002
13705.0,3,3541,3907,711.8600000000001
13747.0,1,3907,3907,79.6
13408.0,81,3535,3907,27487.409999999985
13767.0,52,3536,3907,16945.71000000001
17924.0,13,3535,3907,2894.33
13448.0,10,3550,3907,3465.6700000000023
15862.0,4,3542,3907,832.88
15513.0,22,3565,3907,14520.079999999996
12791.0,1,3907,3907,192.60000000000002
16218.0,8,3563,3907,3054.8700000000013
14045.0,4,3643,3907,1659.75
14307.0,6,3622,3907,2995.7200000000007
17908.0,1,3907,3907,243.2799999999999
17920.0,17,3538,3907,4204.0999999999885
12838.0,2,3567,3907,683.1299999999994
13255.0,3,3537,3907,390.65999999999997
16583.0,1,3907,3907,233.45000000000002
18085.0,2,3864,3907,689.95
13758.0,7,3545,3907,3190.550000000001
13694.0,60,3537,3907,62653.10000000003
15983.0,4,3556,3907,1475.02
14849.0,28,3555,3907,7904.279999999997
17968.0,1,3907,3907,277.34999999999997
16210.0,18,3535,3907,21086.299999999996
17897.0,4,3706,3907,541.0999999999999
17377.0,21,3557,3907,3925.919999999996
16552.0,2,3776,3907,379.72999999999996
17181.0,2,3591,3907,239.91999999999996
17951.0,4,3573,3907,990.8400000000003
14729.0,1,3907,3907,313.48999999999995
12748.0,224,3534,3907,29072.100000000413
15012.0,2,3587,3907,423.0399999999996
12868.0,6,3719,3907,1607.0600000000009
17572.0,4,3605,3907,226.75
14078.0,6,3635,3907,1049.3700000000003
14001.0,4,3579,3907,2030.33
12662.0,12,3534,3907,3817.079999999998
